epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2397.28,0.10729,0.02891,0.00733,0.08986,0.75272,0.99811,0.99837,0.995,0.92408,0.99811,0.99837,0.995,0.9927,0.48107,0.10365,0.03853,0.22092,1.08854,0.00101,0.00101,0.00101
52,2443.98,0.10654,0.02845,0.00698,0.09002,0.75254,0.99858,0.99901,0.995,0.92138,0.99858,0.99901,0.995,0.9925,0.49018,0.1048,0.04317,0.22042,1.11336,0.0009902,0.0009902,0.0009902
53,2490.84,0.10309,0.02635,0.00699,0.08838,0.75122,0.99993,0.99905,0.995,0.92184,0.99993,0.99905,0.995,0.99281,0.49187,0.10326,0.0504,0.22,1.10784,0.0009704,0.0009704,0.0009704
54,2537.7,0.10371,0.02636,0.00688,0.08962,0.75147,1,0.99854,0.995,0.92069,1,0.99854,0.995,0.99289,0.48916,0.09689,0.04156,0.22473,1.09184,0.0009506,0.0009506,0.0009506
55,2584.14,0.09588,0.02526,0.00625,0.08585,0.74921,0.99905,0.9993,0.995,0.92196,0.99905,0.9993,0.995,0.99338,0.48799,0.0937,0.0449,0.22224,1.10715,0.0009308,0.0009308,0.0009308
56,2631.64,0.09614,0.02325,0.00596,0.0839,0.74927,0.99905,0.99949,0.99474,0.92184,0.99905,0.99949,0.99474,0.99241,0.48158,0.09723,0.04255,0.22075,1.09124,0.000911,0.000911,0.000911
57,2678.45,0.09464,0.02285,0.00581,0.08285,0.74858,0.99811,0.99997,0.99499,0.92088,0.99811,0.99997,0.99499,0.99298,0.48825,0.09521,0.04223,0.22155,1.0984,0.0008912,0.0008912,0.0008912
58,2725.13,0.09295,0.02419,0.0059,0.0804,0.74787,0.99857,0.99953,0.99491,0.92488,0.99857,0.99953,0.99491,0.99286,0.48082,0.09338,0.04369,0.22264,1.09635,0.0008714,0.0008714,0.0008714
59,2771.65,0.093,0.02293,0.0061,0.08059,0.7485,0.99764,0.99982,0.995,0.92503,0.99764,0.99982,0.995,0.99318,0.48327,0.09996,0.04385,0.21706,1.09523,0.0008516,0.0008516,0.0008516
60,2818.66,0.09084,0.02303,0.00605,0.08057,0.74826,0.99807,0.99905,0.99495,0.92338,0.99807,0.99905,0.99495,0.99295,0.48218,0.09738,0.04378,0.21764,1.10283,0.0008318,0.0008318,0.0008318
